Time;Ultrasónico_p4_01;Ultrasónico_p4_02;Ultrasónico_p4_03;Ultrasónico_p4_04;Ultrasónico_p4_05;Ultrasónico_p4_06;Ultrasónico_p4_07;Ultrasónico_p4_08;Ultrasónico_p4_09;Ultrasónico_p4_10
6,800;21,100;41,000;60,900;80,400;100,700;121,000;151,100;182,100;212,200;242,700;
6,900;21,100;41,000;60,900;80,400;101,000;120,800;151,100;182,100;212,400;242,700;
7,000;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
7,100;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,100;213,100;242,700;
7,200;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,800;
7,300;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
7,400;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,300;232,200;
7,500;21,100;41,000;61,400;80,400;100,700;120,800;151,200;182,100;212,400;242,700;
7,600;21,100;41,000;60,900;80,600;100,700;120,800;151,100;182,100;212,400;242,700;
7,700;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
7,800;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,200;242,700;
7,900;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
8,000;21,100;41,000;60,900;80,400;100,700;120,800;150,400;182,100;212,400;242,700;
8,100;21,100;41,000;60,900;80,400;100,800;120,800;151,100;182,100;212,400;242,000;
8,200;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,600;
8,300;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,000;
8,400;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,100;212,400;242,000;
8,500;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,000;
8,600;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,500;212,400;242,700;
8,700;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,300;242,000;
8,800;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,000;
8,900;21,100;41,000;60,900;80,400;100,700;121,000;151,100;182,100;212,400;242,200;
9,000;21,200;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,000;
9,100;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,200;212,400;242,000;
9,200;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,200;212,400;242,000;
9,300;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
9,400;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,000;
9,500;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,500;212,400;242,700;
9,600;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,300;242,000;
9,700;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,500;212,400;242,000;
9,800;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,000;
9,900;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,200;212,400;242,200;
10,000;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,000;
10,100;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,200;212,400;242,700;
10,200;21,100;41,000;60,900;80,400;100,800;120,800;151,100;182,100;212,300;242,700;
10,300;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,600;242,700;
10,400;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,500;213,000;242,000;
10,500;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;213,000;242,700;
10,600;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
10,700;21,100;41,000;60,900;80,400;100,700;121,000;151,100;182,100;212,400;242,700;
10,800;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,100;212,400;243,400;
10,900;21,100;41,000;61,400;80,400;100,700;120,800;151,100;182,100;213,000;242,700;
11,000;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
11,100;21,100;41,000;60,900;80,600;100,700;120,800;151,100;182,500;213,000;242,700;
11,200;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
11,300;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,100;212,400;242,700;
11,400;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,500;213,000;242,700;
11,500;21,100;41,000;60,900;80,400;100,700;120,800;151,100;182,500;212,200;242,700;
